reading_id,shipment_id,lot_id,timestamp,temperature_c,humidity_percent,location,device_id,threshold_min_c,threshold_max_c,excursion_flag,excursion_duration_minutes,notes
CC0001,SH1,L001,2024-01-12 08:00:00,4.2,65,ORIGIN_WAREHOUSE,TEMP_001,2,8,NO,0,Normal reading at origin
CC0002,SH1,L001,2024-01-12 10:00:00,5.1,68,IN_TRANSIT_AIR,TEMP_001,2,8,NO,0,Normal during flight
CC0003,SH1,L001,2024-01-12 12:00:00,10.5,72,IN_TRANSIT_AIR,TEMP_001,2,8,YES,45,EXCURSION - Temperature spike during transfer
CC0004,SH1,L001,2024-01-12 14:00:00,6.8,70,IN_TRANSIT_AIR,TEMP_001,2,8,NO,0,Returned to normal
CC0005,SH1,L001,2024-01-12 16:00:00,4.5,66,DEST_WAREHOUSE,TEMP_001,2,8,NO,0,Arrived at destination - normal
CC0006,SH1,L037,2024-01-24 09:00:00,3.8,64,ORIGIN_WAREHOUSE,TEMP_002,2,8,NO,0,Normal at origin
CC0007,SH1,L037,2024-01-24 11:00:00,6.2,67,IN_TRANSIT_TRUCK,TEMP_002,2,8,NO,0,Normal during transport
CC0008,SH1,L037,2024-01-24 13:00:00,9.8,71,IN_TRANSIT_TRUCK,TEMP_002,2,8,YES,30,Minor excursion - door opened
CC0009,SH1,L037,2024-01-24 15:00:00,5.4,68,DEST_WAREHOUSE,TEMP_002,2,8,NO,0,Delivered - under investigation
CC0010,SH3,L016,2024-01-07 08:30:00,22.5,55,ORIGIN_WAREHOUSE,TEMP_010,15,25,NO,0,Ambient storage - normal
CC0011,SH3,L016,2024-01-07 14:30:00,23.1,58,IN_TRANSIT_TRUCK,TEMP_010,15,25,NO,0,Normal ambient transport
CC0012,SH3,L016,2024-01-07 18:30:00,24.8,61,DEST_WAREHOUSE,TEMP_010,15,25,NO,0,Delivered - normal
CC0013,SH3,L017,2024-01-22 09:00:00,21.8,54,ORIGIN_WAREHOUSE,TEMP_011,15,25,NO,0,Normal ambient
CC0014,SH3,L017,2024-01-22 15:00:00,23.5,57,IN_TRANSIT_TRUCK,TEMP_011,15,25,NO,0,Normal transport
CC0015,SH4,L024,2024-01-15 07:00:00,-18.2,40,ORIGIN_WAREHOUSE,TEMP_020,-25,-15,NO,0,Ultra-cold storage - normal
CC0016,SH4,L024,2024-01-15 10:00:00,-16.8,42,IN_TRANSIT_AIR,TEMP_020,-25,-15,NO,0,Acceptable variation during flight
CC0017,SH4,L024,2024-01-15 13:00:00,-17.5,41,DEST_WAREHOUSE,TEMP_020,-25,-15,NO,0,Delivered - within spec
CC0018,SH4,L026,2024-01-15 07:00:00,-19.1,39,ORIGIN_WAREHOUSE,TEMP_021,-25,-15,NO,0,Normal ultra-cold
CC0019,SH4,L026,2024-01-15 10:00:00,-17.2,43,IN_TRANSIT_AIR,TEMP_021,-25,-15,NO,0,Acceptable during flight
CC0020,SH4,L026,2024-01-15 13:00:00,-18.6,40,DEST_WAREHOUSE,TEMP_021,-25,-15,NO,0,Normal delivery
CC0021,SH5,L031,2024-01-18 08:00:00,20.5,52,ORIGIN_WAREHOUSE,TEMP_030,15,25,NO,0,Ambient - generic drug
CC0022,SH5,L031,2024-01-18 16:00:00,22.8,56,IN_TRANSIT_TRUCK,TEMP_030,15,25,NO,0,Normal transport
CC0023,SH5,L031,2024-01-18 20:00:00,21.2,54,DEST_WAREHOUSE,TEMP_030,15,25,NO,0,Delivered normal
CC0024,SH7,L002,2024-01-12 06:00:00,5.2,66,ORIGIN_WAREHOUSE,TEMP_040,2,8,NO,0,Vaccine - normal start
CC0025,SH7,L002,2024-01-12 09:00:00,6.8,69,IN_TRANSIT_AIR,TEMP_040,2,8,NO,0,Normal flight
CC0026,SH7,L002,2024-01-12 12:00:00,4.8,67,DEST_WAREHOUSE,TEMP_040,2,8,NO,0,Delivered within spec
CC0027,SH7,L003,2024-01-12 06:00:00,4.6,65,ORIGIN_WAREHOUSE,TEMP_041,2,8,NO,0,Normal vaccine storage
CC0028,SH7,L003,2024-01-12 09:00:00,7.2,70,IN_TRANSIT_AIR,TEMP_041,2,8,NO,0,Acceptable variation
CC0029,SH7,L003,2024-01-12 12:00:00,5.5,68,DEST_WAREHOUSE,TEMP_041,2,8,NO,0,Normal delivery
CC0030,SH8,L026,2024-01-20 08:30:00,-18.8,41,ORIGIN_WAREHOUSE,TEMP_050,-25,-15,NO,0,Biologics normal
CC0031,SH8,L026,2024-01-20 11:30:00,-16.5,44,IN_TRANSIT_AIR,TEMP_050,-25,-15,NO,0,Acceptable during flight
CC0032,SH8,L026,2024-01-20 14:30:00,-19.2,40,DEST_WAREHOUSE,TEMP_050,-25,-15,NO,0,Delivered normal
CC0033,SH8,L027,2024-01-20 08:30:00,-17.9,42,ORIGIN_WAREHOUSE,TEMP_051,-25,-15,NO,0,Normal ultra-cold
CC0034,SH8,L027,2024-01-20 11:30:00,-15.8,45,IN_TRANSIT_AIR,TEMP_051,-25,-15,NO,0,Near threshold - monitored
CC0035,SH8,L027,2024-01-20 14:30:00,-18.4,41,DEST_WAREHOUSE,TEMP_051,-25,-15,NO,0,Delivered acceptable
CC0036,SH1,L005,2024-01-17 07:00:00,4.8,66,ORIGIN_WAREHOUSE,TEMP_060,2,8,NO,0,Normal at origin
CC0037,SH1,L005,2024-01-17 10:00:00,5.9,68,IN_TRANSIT_AIR,TEMP_060,2,8,NO,0,Normal flight
CC0038,SH1,L005,2024-01-17 12:00:00,11.2,74,IN_TRANSIT_AIR,TEMP_060,2,8,YES,60,CRITICAL EXCURSION - Equipment failure
